Market ID;Result;Invested ($);PnL ($);PnL (%);Win;Loss
0xba26f39c3c3400b0d656d67f0ca9ab221a00fb65987c06a37dd368c2cba67f45;WIN;101,26;9,31;9.20;1;0
0x302e3fd2bdd724fe8dae513a0046b38ca953f128cb0f7777b24b9e53c3bd0468;WIN;20,34;3,42;16.82;1;0
0xba7ef44837c0415d86bf2d30dc62f608a6cf8aab76a3b2aa50eab924493cc094;WIN;60,34;5,35;8.86;1;0
0x3ed9c19dc83994eab04a0ced08181ae59420eb8844a841c121eac9319bb48f78;WIN;53,72;8,46;15.75;1;0
0x3a5a8e2e647372e7c2ea042ebd4dc32cb1ba35a91ef7b20662067fa17bbae533;LOSS;103,36;-42,59;-41.21;0;1
0x8fd678cc45a88a939cc2a49c55826a998925d67f69cfb8573a2dd744e954c1f8;WIN;77,92;3,33;4.27;1;0
0x3dbe9bf2f500b74538c2cb0133569228eac06fab14443e7f9dfa70320e243198;LOSS;99,98;-58,48;-58.49;0;1
0xd52323b1ca071067f7d046950f28a14e55aa5a335c182f3da47de1b90aba2233;WIN;102,78;12,51;12.17;1;0
0xa6833b348ae2dfbfcbc0d72255018c41088700db0bc8a6893b4221e8040b97be;WIN;42,84;6,12;14.28;1;0
0xc6e89267beaa4e8911cae7653eb2325971b1101b06eb9119bacf91afa0bb245a;WIN;107,63;8,57;7.96;1;0
0xcf707cccbe206b70188cb2a93c20b26b0109e988ede89029f507e267ee346d93;WIN;36,40;5,12;14.08;1;0
0xe0dcc3ff8d303c41281d888247c43e4cb579e7614f7a64e79ea19601415e84f5;WIN;109,21;12,39;11.35;1;0
0x6f31705f7a92f1bc5d22cb78728c7db1ca1798862c3678065ef13d9199f194a2;WIN;24,16;3,97;16.42;1;0
0x458af93df3f095eb280a99d972d76db581bb4067fbb8dc5e96091be24a6dc21f;WIN;81,96;13,88;16.93;1;0
0x684357ede4a232152be40b138de595806eb444cdf7b8e18ab54ae16a54e04934;WIN;104,53;9,67;9.25;1;0
0xb7d31d3cf7c20fce6ad2c316045947c2d19328be11b182880aa8d4895f969081;LOSS;81,39;-39,96;-49.10;0;1
0x1a44577d8460223c0ec07caa26c1a381073e7bcc77ea2a100bddc93f20ac5c89;WIN;28,00;5,27;18.80;1;0
0x5aef2e0d0a700abb29db122fa58bd5c4fbfc3b74f9103339f7cb56ccccc85711;WIN;35,52;4,28;12.05;1;0
0xdab07c1c12f54de01e472639d9bdbe19f8e232b8373d9441a3e8f3fa5ee447f0;WIN;67,02;4,96;7.40;1;0
0x49a6bf11c3323174e4fbee07eb855852264b14c0c60f5fcc3acb2c968ce51d34;WIN;58,77;2,05;3.48;1;0
0xfaa95e5d391d95ae21f1e7456f574ab63d43c33c07bd260eddf28cd6b5c307b6;WIN;107,56;16,86;15.67;1;0
0xfd0e9285d5536cbd7fdc0cee40a5dbcfb91049103f8bb395a4db3e22b3f55e54;WIN;110,10;14,52;13.19;1;0
0x743a1ff66b3b473b2c5b29f99c520a9b9f47cdfce07edd36e8af91440fde6c81;LOSS;64,65;-31,23;-48.31;0;1
0xa4ddd342e2de56d3f537f1e6c17ccda69eedff6856306b23fedeb1e6afbe55d7;LOSS;57,59;-28,28;-49.11;0;1
0x07a96f82822e590463423ab68ea1300cad663bb73e6a08b600ed0939ddf92df5;WIN;71,71;13,03;18.17;1;0
0x88a2d3cac6d6d2414a314b7273b97a4e2a25e686fdbeb1eecbfcef38108c793d;WIN;16,96;2,82;16.63;1;0
0xdda6fa1cfa7945421d90f88c87e5a7f282b36af6ba99097f9f399c8625db9444;WIN;14,94;2,29;15.33;1;0
0x11fbb09c2d09e4318fe22ddee5674d45d8772e6f0578307acfa6d56d63d6107b;WIN;57,19;8,23;14.38;1;0
0xdd015985e870726ae06fd210d73bb20a7a46d4a482450e97a8f30ba229a1b64b;WIN;39,42;5,94;15.08;1;0
0xa2122056c4e7e47b256d7c33f3ef078d74afe6c223fc660a8d912a18e5adf563;WIN;98,08;8,08;8.24;1;0
0x185296b5c4800aedcd93c0b63c7ad6440db17c72f902b0c24dd3c0d68a16058f;WIN;104,09;14,63;14.06;1;0
0x86a542580f5102143c0d03cf12345141c3aac9b6e48c2afc073f62f8aaa8beec;WIN;75,54;12,36;16.36;1;0
0xb60e8c3b64959f9951714116f32fb4a3b10a0c94fbb7765f1359f21b135b1915;WIN;15,48;1,95;12.57;1;0
0xe7530c89fe8456d279d5c9a0e96406491071142a2c91a2a441272051c28b3fcf;WIN;102,71;11,31;11.02;1;0
0x8446d3e9fbdd9ed186f6f0514ce4f8e279106b01ef91fdff2a77073bdb211aed;WIN;86,96;8,14;9.36;1;0
0xf5c002622419e497cabc2cd40e51cff37ca53f7b98b2ab0135a04aab66d8092a;WIN;22,26;3,52;15.83;1;0
0x6cc96b298b3a30cc9c00b5d14cb10fb5b5d60e4637f541d9a38a68be78bfc933;LOSS;48,27;-15,80;-32.73;0;1
0xff769e476500993811e2bcd88849e7b5a1b4abdfdc8436cb1a46b9607936ed95;WIN;27,38;4,11;15.02;1;0
0x83356f336bb56bc75e2f583460aa3d5e8eff87cfa33f182cfeed613ea3bd69ba;WIN;43,03;5,99;13.92;1;0
0xa14adc451c590b26715681f4876dac7aea0f5794a18d47b403f0af2a2facc92d;WIN;61,17;10,42;17.03;1;0
0x52ca6654bf396c93446e4a31caa1982140e4f38b91b1b86e87872becec081297;WIN;11,78;2,18;18.51;1;0
0x62f6a11cbfd373e12d3ee4b281f4a6054a2a389655706a9e0769663281d9c3af;WIN;14,97;2,08;13.91;1;0
0xe8add35c59b936fd2aec7156367477163a2ebf433ef3b0e68b6035eb4dbbace8;WIN;12,00;1,88;15.71;1;0
0xec811b218079537b46b037f73466b530902b6dce0ddc7a568b87cf7710e9bf2c;WIN;35,04;5,81;16.57;1;0
0x244f3373d704161861d2cf9c11818de426e72056387814cd6673050de82c3317;WIN;81,27;13,51;16.62;1;0
0x008b377e42f6027b6b67151f35dc6df87ed937a559b07c9433fcc46fabd3e2e6;WIN;104,03;10,97;10.54;1;0
0x2013f3afe1362b0ec85e94287fbd955e0cc887b8af20f58f32e43bc0b39dced8;WIN;15,24;2,05;13.45;1;0
0xad8f1053b98b6bfbde077e371798449be8513d9bdd54b866253b730beb574003;WIN;19,28;2,99;15.48;1;0
0x11631fb2a8a89510f0e9baccd717109e999727855b09f959b130d5cf1d1c39f4;LOSS;91,29;-63,40;-69.45;0;1
0x25a4056c3f3bdc3cb47de6615e849a47dc65994798f533e241b859d8b130c7f1;WIN;88,63;14,43;16.28;1;0
0x2eddf4eba12d30e178f08db66a44bb4d7e5e48b1538da7e09204bde9c70c0a18;LOSS;77,72;-26,88;-34.59;0;1
0xc3577f2959713b218331c819d5c80fe070b350ca7d91776a4b1ef0b097418a03;WIN;52,35;7,88;15.06;1;0
0x1fdd41403b800f572c289b11cdd75c0d5a5c6779d460dcb373d105d3f9d30ca7;WIN;106,73;13,09;12.26;1;0
0x436dee7ce00b5f4ea21a730e39371d049a8a1599d618da185e2a3cb4e263b78c;WIN;108,89;16,55;15.20;1;0
0x85fa5a8e07101d415e506f9bbc8ad618dcfe56113ec13684b92243398e5ca838;WIN;105,69;10,44;9.88;1;0
0xff0d71838ede78789d60198e7e616728559ad048361387574dd5792d7a97d74e;WIN;79,38;6,61;8.33;1;0
0xa8b262a0797d0d1990aab2a23ad63ceea0a428ba96decf0805e3bdbf3184c6f8;WIN;44,88;17,22;38.38;1;0
0x1fd79a957cf6265cae4142496a735a2ea781c01f2f7b269e08e5295003e075b0;WIN;60,66;14,38;23.71;1;0
