Entry Price;Hedge50 Profit;RF Profit;Arb Profit;Budget Limit;Risk Threshold;Target Loss;Total PnL ($);Total Invested ($);Entry size;Wins;Losses;Total Markets
0,42;0,11;0,1;0,2;105;-0,5;-0,08;62,53;21595,89;10;367;53;420
0,42;0,21;0,1;0,3;105;-0,5;-0,01;59,89;24100,91;10;354;66;420
0,42;0,16;0,05;0,35;60;-0,3;-0,08;58,95;15609,91;10;358;62;420
0,42;0,16;0,05;0,35;60;-0,5;-0,01;58,11;15610,75;10;358;62;420
0,42;0,21;0,05;0,35;60;-0,3;-0,01;57,99;15830,5;10;356;64;420
0,42;0,16;0,15;0,2;60;-0,5;-0,01;57,43;17396,39;15;320;100;420
0,42;0,05;0,1;0,25;60;-0,3;0,05;57,32;15431,12;10;346;74;420
0,42;0,11;0,1;0,2;105;-0,3;-0,08;55,67;21602,33;10;367;53;420
0,42;0,21;0,1;0,3;105;-0,3;-0,01;55,39;24105,41;10;354;66;420
0,42;0,05;0,1;0,3;60;-0,5;-0,01;54,8;16122,26;10;337;83;420
0,42;0,21;0,05;0,35;60;-0,3;-0,08;53,53;15821,39;10;356;64;420
0,42;0,21;0,05;0,25;80;-0,3;-0,01;53,4;16815,13;10;372;48;420
0,42;0,05;0,1;0,25;60;-0,3;-0,08;53,32;15426,47;10;345;75;420
0,42;0,21;0,05;0,25;80;-0,3;-0,08;53,26;16809,13;10;372;48;420
0,42;0,11;0,1;0,2;105;-0,5;-0,01;53,16;21605,26;10;367;53;420
0,42;0,05;0,1;0,3;60;-0,5;-0,08;52,9;16120,36;10;337;83;420
0,42;0,16;0,05;0,35;60;-0,3;-0,01;51,94;15616,92;10;358;62;420
0,42;0,16;0,05;0,35;60;-0,5;0,05;51,75;15617,11;10;358;62;420
0,42;0,11;0,1;0,25;60;-0,5;0,05;51,71;15506,11;10;343;77;420
0,42;0,21;0,05;0,25;80;-0,3;0,05;51,54;16822,3;10;373;47;420
0,42;0,05;0,1;0,25;60;-0,3;-0,01;51,52;15432,91;10;345;75;420
0,42;0,11;0,1;0,2;105;-0,5;0,05;51,32;21607,1;10;367;53;420
0,42;0,05;0,05;0,25;60;-0,5;0,05;50,71;13427,28;10;368;52;420
0,42;0,16;0,05;0,35;80;-0,3;0,05;50,69;21539,07;15;354;66;420
0,42;0,05;0,05;0,25;60;-0,5;-0,01;49,55;13424,43;10;367;53;420
0,42;0,11;0,1;0,25;60;-0,5;-0,08;49,52;15499,64;10;342;78;420
0,42;0,11;0,1;0,25;60;-0,5;-0,01;49,23;15504,56;10;342;78;420
0,42;0,11;0,1;0,35;105;-0,5;-0,01;48,29;29751,11;15;334;86;420
0,42;0,21;0,15;0,3;80;-0,5;-0,08;48,12;24156,34;15;318;102;420
0,42;0,05;0,05;0,35;105;-0,5;0,05;47,93;20993,8;10;371;49;420
0,42;0,16;0,1;0,3;105;-0,5;-0,08;47,87;24820,82;10;353;67;420
0,42;0,21;0,1;0,3;105;-0,5;0,05;47,81;24112,99;10;354;66;420
0,42;0,21;0,05;0,35;60;-0,5;-0,01;47,17;15828,47;10;356;64;420
0,42;0,05;0,05;0,25;60;-0,5;-0,08;47,13;13422,21;10;367;53;420
0,42;0,21;0,05;0,35;60;-0,5;0,05;46,96;15836,6;10;358;62;420
0,42;0,21;0,05;0,35;60;-0,5;-0,08;46,75;15819,74;10;356;64;420
0,42;0,05;0,1;0,3;60;-0,3;-0,01;46,67;16130,39;10;337;83;420
0,42;0,11;0,1;0,35;105;-0,5;-0,08;46,67;29735,06;15;334;86;420
0,42;0,01;0,05;0,25;60;-0,5;-0,08;45,73;12508,26;10;374;46;420
0,42;0,05;0,1;0,3;60;-0,3;-0,08;45,69;16127,57;10;337;83;420
0,42;0,05;0,05;0,35;105;-0,3;0,05;45,6;20996,13;10;371;49;420
0,42;0,21;0,15;0,3;80;-0,5;-0,01;45,31;24165,07;15;318;102;420
0,42;0,21;0,05;0,35;60;-0,3;0,05;45,21;15838,35;10;358;62;420
0,42;0,11;0,1;0,35;105;-0,3;-0,08;45,2;29740,92;15;334;86;420
0,42;0,16;0,05;0,35;60;-0,3;0,05;45,07;15623,79;10;358;62;420
0,42;0,11;0,1;0,25;60;-0,3;0,05;44,78;15513,03;10;343;77;420
0,42;0,05;0,15;0,25;60;-0,3;0,05;44,56;16207,28;10;334;86;420
0,42;0,16;0,1;0,3;80;-0,5;-0,01;44,39;22850,52;15;332;88;420
0,42;0,16;0,1;0,3;105;-0,3;-0,08;44,29;24824,4;10;353;67;420
0,42;0,16;0,05;0,35;80;-0,3;-0,01;44,04;21529,76;15;351;69;420
0,42;0,11;0,1;0,2;105;-0,3;-0,01;43,95;21614,37;10;367;53;420
0,42;0,05;0,05;0,25;60;-0,3;0,05;43,54;13434,45;10;368;52;420
0,42;0,16;0,1;0,3;80;-0,5;-0,08;43,34;22845,77;15;332;88;420
0,42;0,05;0,05;0,25;60;-0,3;-0,01;43,13;13430,85;10;367;53;420
0,42;0,05;0,05;0,25;60;-0,3;-0,08;42,46;13426,88;10;367;53;420
0,42;0,01;0,05;0,25;60;-0,3;-0,08;42,45;12511,54;10;374;46;420
0,42;0,11;0,1;0,25;60;-0,3;-0,01;42,34;15511,45;10;342;78;420
0,42;0,21;0,1;0,3;105;-0,3;0,05;42,15;24118,65;10;354;66;420
0,42;0,11;0,1;0,25;60;-0,3;-0,08;41,91;15507,25;10;342;78;420
0,42;0,16;0,1;0,35;60;-0,5;-0,08;41,4;17568,47;10;331;89;420
0,42;0,16;0,1;0,3;80;-0,3;-0,01;41,36;22864,32;15;332;88;420
0,42;0,16;0,1;0,35;60;-0,5;-0,01;40,78;17573,49;10;331;89;420
0,42;0,11;0,1;0,35;105;-0,3;-0,01;40,76;29761,37;15;334;86;420
0,42;0,11;0,05;0,25;60;-0,5;-0,08;40,13;13483,26;10;367;53;420
0,42;0,01;0,05;0,25;60;-0,5;0,05;39,92;12486,55;10;374;46;420
0,42;0,11;0,05;0,25;60;-0,5;0,05;39,9;13492,14;10;368;52;420
0,42;0,11;0,05;0,25;60;-0,5;-0,01;39,37;13488,65;10;367;53;420
0,42;0,01;0,05;0,25;60;-0,5;-0,01;39,17;12483,25;10;373;47;420
