ID Маркета;Исход первого входа;Цена первого входа;Признак Risk-Free;PnL (Сумма);PnL (%);Вложено всего
0xb4af239b46537e33e3493fed5bf43b4887440c4b24903f27d4990bf8d677b697;Up;0,31;Да;-1031,66;-7,05;14639,34
0xb4d141c57f3758cad6d06c961b8e24988af6c39a2286ed48021bb12aa2f05b4a;Up;0,33;Нет;-657,62;-33,13;1984,77
0xb515908c5880dee6216e6f8cd9403a35ae76b4df298be28d406a288919512b69;Up;0,55;Да;568,49;52,87;1075,24
0xb54151440a3f19a54e127b64d5b903035a93ff51f3937fb08eb50e488593792d;Down;0,49;Нет;29,43;4,75;618,96
0xb6e7b20a3a05e2bacfbd7b0e689bb664d327c2a1cd6c150c438fd9ff5633eb40;Down;0,54;Нет;134,28;8,15;1648,10
0xb70e1115cdab6a50a2a930da3f542297af69796682c6565aea1c52c41464ccbc;Up;0,72;Нет;178,86;31,93;560,18
0xb744edf8266180bfe21800eee65fd1aadd993feffb5ae041ada3e3f5720a1bdc;Up;0,54;Нет;-528,17;-9,63;5484,75
0xb75830036308ab78a0d1abe1afb9772169fed239aa4830597eaef40528fcfac8;Up;0,55;Да;1419,58;33,93;4183,24
0xb75aa5e1105bbe580c35429511bd0b6151472be58187c511156aa1a476b6f5e2;Up;0,44;Нет;-74,97;-14,89;503,39
0xb76786b68ac79d12fb1a65c7647632626b870a99400aac341cbf8d29da431683;Down;0,46;Нет;-3374,66;-17,88;18869,47
0xb799ead6086c9f5273a10163c04f52c5dc4b304553795e24bcde27a48336d366;Up;0,45;Да;611,93;49,47;1237,03
0xb7d5277d98011d3b09cf4ef29ba85efc20cbe7c2efe834281c910035bbb1ac05;Up;0,48;Да;11,62;5,22;222,68
0xb7e8ea5ceddb0e1e09cbcd161d2d908a04b82172aadec239c307fbeca53b8bd6;Down;0,51;Нет;192,29;30,44;631,63
0xb825570a729cc145b0607075fa7225280464007b9c4be63467c94419972a0703;Down;0,59;Нет;-918,02;-18,60;4934,62
0xb866e8e789ffeeba9ed16c6d9fc2cfdce007aa1fdcf767c24d6f715629e82d93;Down;0,64;Да;160,68;22,29;720,81
0xb88cb1944ede3ae473392409f6e553c88a3c0b0cf8dd382d1eb1aed40e194fae;Up;0,07;Да;-0,77;-1,24;62,20
0xb911a58571aad3f024eff27d67c6c4e7fa3ccc4ee1415f3ca9421f50071c0333;Down;0,62;Нет;-1693,72;-19,03;8901,46
0xb91fe4514c30a622108f583db85895b9a8c1945a4856c264804aa56939eaa188;Down;0,36;Да;326,81;6,32;5172,15
0xb95e76fe7ec568f43aa5684504f214c65d75d458d99057850a3abb52da778c5c;Up;0,50;Нет;-65,94;-13,65;483,00
0xb9fd072491afaeb6133bf9433a8f516825f326c8096ffbd138b91d75fafb4aaf;Up;0,61;Да;148,19;4,70;3156,05
0xba1395fd25c139e4c3515bc49aa2ad52959dfa095569d84b6dc5fc437afbf517;Up;0,40;Нет;-74,33;-29,08;255,64
0xba498c8e407c45a5e2ae1b017fe4112cced694359ab9b38463511ef983107a9f;Down;0,48;Да;3,75;0,78;483,89
0xbaa4bc61597a5128b89bdf3ba5f9b030f97058570276fd5efbe2179f9a0a8711;Down;0,01;Нет;-3,60;-100,00;3,60
0xbb16883e3403ede8f42bf47269e6ba03d33632e541b096979eb0159e6fdd9248;Down;0,52;Да;116,45;12,62;922,63
0xbb2ded2bd63171a171d13bce7009a09e54dd13f03e1f1a9c1f6f7c098c4cf63c;Up;0,52;Да;81,81;3,14;2604,06
0xbb54bf4fc8bcc272f49904c39975ca42bd55353afa561a66b6abc1ca56fe1498;Up;0,47;Нет;-66,57;-1,76;3784,99
0xbb8d55b8198199f147cf55a6c380447571caf4fabfe01a8a8d114000e811d717;Down;0,90;Да;16,27;3,81;427,17
0xbbc17e0b89d4d6c2c5b314e818cb0e447e27fc3183227f9abb934e52e7866f5a;Up;0,54;Нет;-174,94;-10,35;1690,84
0xbc74561f75742282a0681f15302b026ef6e9b9fabc0bcd3a9e44b6e0d5ed137d;Up;0,61;Нет;67,92;5,98;1135,02
0xbdac19422a833dfa5ea1a03936aabb5f2e63a574ad39ac624ad4ac71b5f7d9cd;Up;0,49;Да;161,24;40,77;395,44
0xbe8101ff87302995937a631e73a7252ddd92f6acd085fcfc4725346965b41dac;Down;0,53;Нет;117,63;15,41;763,25
0xbe8ebeb9752d95267b145ea258781aa5d02c669265b53320a4e4358f49e072f5;Down;0,62;Да;64,63;4,30;1501,79
0xbea1a2c51e87349a91bb2be4ca4308fe84736525e5de29ddccf6b5eec13bd06d;Up;0,51;Нет;-149,96;-18,08;829,64
0xbfa196bb018863e8118f135b8bd6fe277a3dbebe2bf10377c07c4e1f29428f8b;Down;0,49;Да;36,90;17,18;214,81
0xbfa1ee226370c28b028af7433fc09edbf76e53ca96b8e66fed6919f213f79eb1;Down;0,48;Нет;-77,20;-72,73;106,14
0xc0cf7a59e9018a6c7d4aa05bdc6faa9995dd5eea346ac63d2e200bed84158579;Up;0,57;Да;2,84;0,54;524,37
0xc142d6ff40d66296d301ae326beac8cc318bfefa3bc87969a801e0fbd1f332e5;Up;0,52;Нет;155,87;47,84;325,83
0xc23cec697bf1a674de5d3dc6da67c7c01d26c386b16f90c07809272d9907e2ee;Down;0,47;Нет;-601,95;-15,18;3965,67
0xc256b00387c16d8e15a04fdf8b5c8a612f269b8929b3fa435f585f378c9e3e45;Down;0,69;Да;-9,52;-7,01;135,91
0xc29493798ba1d72eec49a775c8fbdf5e08ae401f27a2377017ea36b0a8736561;Down;0,59;Да;55,86;18,56;300,98
0xc2cbc5c6623e1b3234cb9f7fb6d21f5cbc14589dc7b520a7831ca37ec58bb97d;Up;0,55;Да;13,35;2,74;487,86
0xc2ec2c1de6559cf91699b542c2861f10b48891a60a4c9d17c11e5d6b013f1c2a;Up;0,43;Да;-45,85;-10,44;439,28
0xc3075852855b0204f9b9003dfbc9114650eb5d76e61bebbff0fadb0466b2339b;Down;0,55;Нет;-2171,13;-28,21;7695,59
0xc3594d39f48e9eb6389ee5173037b88b892abfed9d3b4f56b66cc420ce0a5074;Down;0,48;Нет;87,39;11,09;787,72
0xc3b8d7051c5009f345f21f76a02c696f35e8813879500704fd78ed8b325a130b;Down;0,47;Да;1742,46;36,59;4762,57
0xc435bf3782e9680918a89902fb59cd8db0d87757427b7ee880069c7ef75ca4b4;Up;0,53;Нет;117,85;37,07;317,87
0xc526a0a79450385600ddb0627dcd23a4bdcb4017d72b33f99f578779265281b9;Down;0,48;Нет;126,68;20,97;604,00
0xc580cb106f3797f2c3867db2c3b0e553e6baa1cfb3ff12e8dde3c6e89e462653;Up;0,52;Да;92,39;3,71;2488,10
0xc5bc9052caceab465cbe6f2c1c4235cfe898f366866e51d891d19252c82c5594;Up;0,57;Нет;-111,34;-20,15;552,46
0xc63806ab79de29bb167e2a7ea10776fdcdfc931e27e18616cbd0984b312d10dd;Down;0,44;Нет;-55,86;-29,55;189,01
0xc67aa0faf3047b0b5f35b8294ab25fd44d64391f80c6dcd48f1371a5065851ec;Down;0,49;Нет;-93,21;-1,14;8186,61
0xc73d399144fb0017f8b197fe98b97061a960dc4cf89f09c8bb2464a1b6d22237;Up;0,64;Да;350,40;16,67;2102,26
0xc743e82b24011208cd8a09d06b36e62f4d8ab2168a595ac1c19e6233b465ead2;Down;0,57;Да;380,74;5,78;6583,77
0xc78754d8e8b76a19aeb537371b7a0abaadda9b6317d87409bcd0f5ed4b2649de;Up;0,50;Да;22,72;6,18;367,71
0xc7b669ead909b759bbfecdc37c31c7d30af72befcc3ad0cc1974680598d12a7f;Up;0,55;Да;225,49;50,30;448,30
0xc7eb4f56583a3d9cd8d5b5d19b415fdc719e83f492486d4bb2c8fca6bd40f2c7;Up;0,33;Нет;-35,04;-23,56;148,71
0xc8086ee7f0a5df21781f0409812292dd262e326987ce296ad4315bf09a4d0e03;Down;0,54;Нет;221,18;7,78;2844,36
0xc890d1d5fec4f2cf1da21167712004df7f3346065f1b571ef0d1bc2d052605f4;Up;0,74;Да;97,40;4,85;2007,64
